endodermal_cell	ENCFF106NQV.bam	ENCFF861XCF.bam
endodermal_cell	ENCFF106NQV.bam	ENCFF324EOW.bam
endodermal_cell	ENCFF066OAF.bam	ENCFF861XCF.bam
endodermal_cell	ENCFF066OAF.bam	ENCFF324EOW.bam
Karpas-422	ENCFF889ZST.bam	ENCFF234AOF.bam
Karpas-422	ENCFF889ZST.bam	ENCFF623LHY.bam
Karpas-422	ENCFF844SDA.bam	ENCFF234AOF.bam
Karpas-422	ENCFF844SDA.bam	ENCFF623LHY.bam
astrocyte	ENCFF252GUK.bam	ENCFF852LKJ.bam
astrocyte	ENCFF252GUK.bam	ENCFF764CKT.bam
astrocyte	ENCFF641TMI.bam	ENCFF852LKJ.bam
astrocyte	ENCFF641TMI.bam	ENCFF764CKT.bam
fibroblast_of_dermis	ENCFF119FKG.bam	ENCFF955HWB.bam
fibroblast_of_dermis	ENCFF119FKG.bam	ENCFF362TJJ.bam
fibroblast_of_dermis	ENCFF292FET.bam	ENCFF955HWB.bam
fibroblast_of_dermis	ENCFF292FET.bam	ENCFF362TJJ.bam
heart_right_ventricle	ENCFF837KUH.bam	ENCFF251DKD.bam
heart_right_ventricle	ENCFF429STS.bam	ENCFF251DKD.bam
GM12878	ENCFF057JYL_pooled.bam	ENCFF385RWJ.bam
GM12878	ENCFF057JYL_pooled.bam	ENCFF097SQI.bam
GM12878	ENCFF855ODQ.bam	ENCFF385RWJ.bam
GM12878	ENCFF855ODQ.bam	ENCFF097SQI.bam
H1	ENCFF274IMF_pooled.bam	ENCFF250OOT.bam
H1	ENCFF274IMF_pooled.bam	ENCFF782JPR.bam
HeLa-S3	ENCFF915NVE_pooled.bam	ENCFF828IDF.bam
HeLa-S3	ENCFF915NVE_pooled.bam	ENCFF504XZI.bam
HeLa-S3	ENCFF367BUZ.bam	ENCFF828IDF.bam
HeLa-S3	ENCFF367BUZ.bam	ENCFF504XZI.bam
naive_thymus-derived_CD4-positive_alpha-beta_T_cell	ENCFF499ENJ_pooled.bam	ENCFF732JAK.bam
epithelial_cell_of_prostate	ENCFF291WWF.bam	ENCFF409DBJ.bam
epithelial_cell_of_prostate	ENCFF291WWF.bam	ENCFF143TOL.bam
epithelial_cell_of_prostate	ENCFF469NGM.bam	ENCFF409DBJ.bam
epithelial_cell_of_prostate	ENCFF469NGM.bam	ENCFF143TOL.bam
mammary_epithelial_cell	ENCFF171WKG.bam	ENCFF722LQX.bam
mammary_epithelial_cell	ENCFF171WKG.bam	ENCFF110PFE.bam
mammary_epithelial_cell	ENCFF543VDH.bam	ENCFF722LQX.bam
mammary_epithelial_cell	ENCFF543VDH.bam	ENCFF110PFE.bam
skeletal_muscle_myoblast	ENCFF826DHO_pooled.bam	ENCFF986PYB.bam
skeletal_muscle_myoblast	ENCFF826DHO_pooled.bam	ENCFF383JVO.bam
skeletal_muscle_myoblast	ENCFF197SHK.bam	ENCFF986PYB.bam
skeletal_muscle_myoblast	ENCFF197SHK.bam	ENCFF383JVO.bam
SK-N-MC	ENCFF808UBJ.bam	ENCFF685RRO.bam
SK-N-MC	ENCFF808UBJ.bam	ENCFF064VTG.bam
SK-N-MC	ENCFF339YAS.bam	ENCFF685RRO.bam
SK-N-MC	ENCFF339YAS.bam	ENCFF064VTG.bam
cardiac_muscle_cell	ENCFF055XGK.bam	ENCFF666DHM.bam
cardiac_muscle_cell	ENCFF055XGK.bam	ENCFF149BLB.bam
cardiac_muscle_cell	ENCFF813CWE.bam	ENCFF666DHM.bam
cardiac_muscle_cell	ENCFF813CWE.bam	ENCFF149BLB.bam
OCI-LY7	ENCFF037NAS.bam	ENCFF504PVS.bam
OCI-LY7	ENCFF037NAS.bam	ENCFF588SRS.bam
OCI-LY7	ENCFF859XWR.bam	ENCFF504PVS.bam
OCI-LY7	ENCFF859XWR.bam	ENCFF588SRS.bam
H9	ENCFF719SKA_pooled.bam	ENCFF267QYQ.bam
H9	ENCFF719SKA_pooled.bam	ENCFF566BSW.bam
spleen	ENCFF055UYI.bam	ENCFF207SEI_pooled.bam
HepG2	ENCFF563QJH_pooled.bam	ENCFF928HIT.bam
HepG2	ENCFF563QJH_pooled.bam	ENCFF743FLS.bam
