keratinocyte	ENCFF914CZP.bam	ENCFF479TIB.bam
A549	ENCFF658VKV.bam	ENCFF498XMT.bam
A549	ENCFF658VKV.bam	ENCFF513DHV.bam
A549	ENCFF658VKV.bam	ENCFF887OAP.bam
A549	ENCFF838CUA.bam	ENCFF498XMT.bam
A549	ENCFF838CUA.bam	ENCFF513DHV.bam
A549	ENCFF838CUA.bam	ENCFF887OAP.bam
A549	ENCFF369CLX.bam	ENCFF498XMT.bam
A549	ENCFF369CLX.bam	ENCFF513DHV.bam
A549	ENCFF369CLX.bam	ENCFF887OAP.bam
A549	ENCFF455QZC.bam	ENCFF498XMT.bam
A549	ENCFF455QZC.bam	ENCFF513DHV.bam
A549	ENCFF455QZC.bam	ENCFF887OAP.bam
A549	ENCFF008YUA.bam	ENCFF498XMT.bam
A549	ENCFF008YUA.bam	ENCFF513DHV.bam
A549	ENCFF008YUA.bam	ENCFF887OAP.bam
A549	ENCFF382QUN.bam	ENCFF384GJL.bam
A549	ENCFF382QUN.bam	ENCFF997YBG.bam
A549	ENCFF382QUN.bam	ENCFF347OFJ.bam
A549	ENCFF352OMJ.bam	ENCFF384GJL.bam
A549	ENCFF352OMJ.bam	ENCFF997YBG.bam
A549	ENCFF352OMJ.bam	ENCFF347OFJ.bam
A549	ENCFF023LKT.bam	ENCFF384GJL.bam
A549	ENCFF023LKT.bam	ENCFF997YBG.bam
A549	ENCFF023LKT.bam	ENCFF347OFJ.bam
A549	ENCFF731FBN.bam	ENCFF384GJL.bam
A549	ENCFF731FBN.bam	ENCFF997YBG.bam
A549	ENCFF731FBN.bam	ENCFF347OFJ.bam
CD14-positive_monocyte	ENCFF543QYF.bam	ENCFF356TSV.bam
A549	ENCFF512OTM.bam	ENCFF188QHK.bam
A549	ENCFF512OTM.bam	ENCFF359HCK.bam
A549	ENCFF512OTM.bam	ENCFF027PRF.bam
A549	ENCFF313ILC.bam	ENCFF188QHK.bam
A549	ENCFF313ILC.bam	ENCFF359HCK.bam
A549	ENCFF313ILC.bam	ENCFF027PRF.bam
A549	ENCFF635HDK.bam	ENCFF188QHK.bam
A549	ENCFF635HDK.bam	ENCFF359HCK.bam
A549	ENCFF635HDK.bam	ENCFF027PRF.bam
A549	ENCFF199AQX.bam	ENCFF188QHK.bam
A549	ENCFF199AQX.bam	ENCFF359HCK.bam
A549	ENCFF199AQX.bam	ENCFF027PRF.bam
A549	ENCFF004RNE.bam	ENCFF188QHK.bam
A549	ENCFF004RNE.bam	ENCFF359HCK.bam
A549	ENCFF004RNE.bam	ENCFF027PRF.bam
A549	ENCFF976VXJ.bam	ENCFF828QUI.bam
A549	ENCFF976VXJ.bam	ENCFF028NQA.bam
A549	ENCFF598KJO.bam	ENCFF828QUI.bam
A549	ENCFF598KJO.bam	ENCFF028NQA.bam
A549	ENCFF428PRU.bam	ENCFF828QUI.bam
A549	ENCFF428PRU.bam	ENCFF028NQA.bam
A549	ENCFF856JVS.bam	ENCFF828QUI.bam
A549	ENCFF856JVS.bam	ENCFF028NQA.bam
A549	ENCFF025VVX.bam	ENCFF828QUI.bam
A549	ENCFF025VVX.bam	ENCFF028NQA.bam
A549	ENCFF656VAK.bam	ENCFF271ODM.bam
A549	ENCFF656VAK.bam	ENCFF389GNB.bam
A549	ENCFF656VAK.bam	ENCFF718EBH.bam
A549	ENCFF331AYH.bam	ENCFF271ODM.bam
A549	ENCFF331AYH.bam	ENCFF389GNB.bam
A549	ENCFF331AYH.bam	ENCFF718EBH.bam
A549	ENCFF088PRP.bam	ENCFF271ODM.bam
A549	ENCFF088PRP.bam	ENCFF389GNB.bam
A549	ENCFF088PRP.bam	ENCFF718EBH.bam
A549	ENCFF989AGK.bam	ENCFF271ODM.bam
A549	ENCFF989AGK.bam	ENCFF389GNB.bam
A549	ENCFF989AGK.bam	ENCFF718EBH.bam
B_cell	ENCFF722OSZ_pooled.bam	ENCFF314EHO.bam
B_cell	ENCFF722OSZ_pooled.bam	ENCFF831QZY.bam
B_cell	ENCFF865QEV.bam	ENCFF314EHO_pooled.bam
B_cell	ENCFF865QEV.bam	ENCFF831QZY.bam
A549	ENCFF202XXK.bam	ENCFF153LJG.bam
A549	ENCFF202XXK.bam	ENCFF340ANC.bam
A549	ENCFF202XXK.bam	ENCFF447UHQ.bam
A549	ENCFF924LAN.bam	ENCFF153LJG.bam
A549	ENCFF924LAN.bam	ENCFF340ANC.bam
A549	ENCFF924LAN.bam	ENCFF447UHQ.bam
A549	ENCFF344BWR.bam	ENCFF153LJG.bam
A549	ENCFF344BWR.bam	ENCFF340ANC.bam
A549	ENCFF344BWR.bam	ENCFF447UHQ.bam
A549	ENCFF144UVO.bam	ENCFF153LJG.bam
A549	ENCFF144UVO.bam	ENCFF340ANC.bam
A549	ENCFF144UVO.bam	ENCFF447UHQ.bam
SJSA1	ENCFF643BIP.bam	ENCFF364AIR.bam
SJSA1	ENCFF643BIP.bam	ENCFF264EZF.bam
SJSA1	ENCFF763VYM.bam	ENCFF364AIR.bam
SJSA1	ENCFF763VYM.bam	ENCFF264EZF.bam
