/experiments/ENCSR660WSB/	ENCSR660WSB	ATAC-seq	ATAC-seq			DND-41	DND-41		ATAC-seq on human cell line DND-41	Michael Snyder, Stanford	ENCODE	in progress	/files/ENCFF597TFO/,/files/ENCFF935LVD/,/files/ENCFF812FQU/,/files/ENCFF838YWO/,/files/ENCFF065BWH/,/files/ENCFF288JLG/,/files/ENCFF033DBX/,/files/ENCFF429MGE/,/files/ENCFF873SUC/,/files/ENCFF793AYG/,/files/ENCFF539SYA/,/files/ENCFF874DAT/,/files/ENCFF199VFP/,/files/ENCFF477HLO/,/files/ENCFF312DCD/,/files/ENCFF083EZD/,/files/ENCFF678KSA/,/files/ENCFF409FED/,/files/ENCFF554ACR/,/files/ENCFF123BSX/,/files/ENCFF900SZV/,/files/ENCFF429KYE/,/files/ENCFF185IFA/,/files/ENCFF454FEL/,/files/ENCFF561COI/,/files/ENCFF745GIC/,/files/ENCFF072HFW/,/files/ENCFF506TAZ/,/files/ENCFF821TAX/,/files/ENCFF503EQU/,/files/ENCFF137VRO/,/files/ENCFF886SXH/,/files/ENCFF313YCE/,/files/ENCFF737OWH/,/files/ENCFF017RCE/,/files/ENCFF726XOL/,/files/ENCFF466RGT/,/files/ENCFF217LFR/,/files/ENCFF506IIO/,/files/ENCFF292GMN/,/files/ENCFF975OXG/,/files/ENCFF786KKI/,/files/ENCFF579WAR/,/files/ENCFF525KKL/,/files/ENCFF711GVP/,/files/ENCFF115UGL/,/files/ENCFF525MTZ/,/files/ENCFF862PLI/,/files/ENCFF664AXH/,/files/ENCFF037BPF/,/files/ENCFF768EPF/,/files/ENCFF880YXJ/,/files/ENCFF182VOB/,/files/ENCFF131SIW/,/files/ENCFF206SVF/		ENCBS013RPN,ENCBS308ABW,ENCBS167JGE	2,3,1	1		Homo sapiens	child	13 years										/replicates/80abc4ed-0736-451d-8f62-9a31d313a78b/,/replicates/ab0c6160-5138-4097-8a33-7c4acbadb745/,/replicates/7b195567-4773-43c4-b942-0ab8aee0c99c/
/experiments/ENCSR943MRO/	ENCSR943MRO	DNase-seq	DNase-seq			posterior cingulate gyrus tissue female adult (85 years)	posterior cingulate gyrus			John Stamatoyannopoulos, UW	ENCODE	submitted	/files/ENCFF967WCO/,/files/ENCFF885ALG/,/files/ENCFF412AWD/,/files/ENCFF924BBO/,/files/ENCFF210OKB/,/files/ENCFF845HUN/		ENCBS793AAJ	1	1		Homo sapiens	adult	85 years										/replicates/936fb4a6-5482-45d0-bfaa-2fabe58c28e4/
/experiments/ENCSR340XQX/	ENCSR340XQX	DNase-seq	DNase-seq			dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex			John Stamatoyannopoulos, UW	ENCODE	submitted	/files/ENCFF726RCJ/,/files/ENCFF939SIL/,/files/ENCFF879VEQ/,/files/ENCFF635LGL/		ENCBS673RPA	1	1		Homo sapiens	adult	90 or above years										/replicates/c12dc82e-6c26-4f7b-86d1-6a174ada71f6/
/experiments/ENCSR037PIU/	ENCSR037PIU	DNase-seq	DNase-seq			posterior cingulate gyrus tissue male adult (80 years)	posterior cingulate gyrus			John Stamatoyannopoulos, UW	ENCODE	submitted	/files/ENCFF695HHF/,/files/ENCFF572KDX/,/files/ENCFF808QUZ/,/files/ENCFF450IQG/		ENCBS948HVL	1	1		Homo sapiens	adult	80 years										/replicates/bb0fce10-304a-4357-8b02-dbc7b15a7b68/
/experiments/ENCSR849WGE/	ENCSR849WGE	DNase-seq	DNase-seq			dorsolateral prefrontal cortex tissue male adult (84 years)	dorsolateral prefrontal cortex			John Stamatoyannopoulos, UW	ENCODE	submitted	/files/ENCFF212CAT/,/files/ENCFF432RWW/,/files/ENCFF239WSW/,/files/ENCFF077MCD/		ENCBS442HZW	1	1		Homo sapiens	adult	84 years										/replicates/711c54dc-5c09-498f-a384-a4f012e87504/
/experiments/ENCSR437QMD/	ENCSR437QMD	ChIP-seq	Histone ChIP-seq	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	stomach tissue male child (3 years)	stomach	SCREEN-GRCh38:stomach_male_child_3_years,GEO:GSM1013122,GEO:GSM1227053,GEO:GSM1582449		Bing Ren, UCSD	Roadmap	released	/files/ENCFF666EGF/,/files/ENCFF669MHN/,/files/ENCFF632UKV/,/files/ENCFF520FIF/,/files/ENCFF972FYM/,/files/ENCFF109JOK/,/files/ENCFF015VNH/,/files/ENCFF055FKA/,/files/ENCFF694JHG/,/files/ENCFF171FCB/,/files/ENCFF699LCU/,/files/ENCFF448JCL/,/files/ENCFF289WYR/,/files/ENCFF885NDW/,/files/ENCFF956QQX/,/files/ENCFF528HAF/,/files/ENCFF588LDH/,/files/ENCFF571SWC/		ENCBS578HBL	1	2,1	ENCAB000ADS	Homo sapiens	child	3 years										/replicates/b8934026-2cc9-48d9-b8f8-c58b0f1aa6bf/,/replicates/a096c64c-2385-44c9-83f8-74349924fb71/
/experiments/ENCSR802GEV/	ENCSR802GEV	ATAC-seq	ATAC-seq			cerebellum tissue male adult (20 years)	cerebellum		human UMB4727 cerebellum	Barbara Wold, Caltech	ENCODE	released	/files/ENCFF520LZN/,/files/ENCFF232DPD/,/files/ENCFF589ZNO/,/files/ENCFF949EKP/,/files/ENCFF114WRE/,/files/ENCFF541YRE/,/files/ENCFF057XST/		ENCBS726RZP	1	1		Homo sapiens	adult	20 years										/replicates/b43e47f0-9994-4e67-a3f2-243356437325/
/experiments/ENCSR730IHD/	ENCSR730IHD	DNase-seq	DNase-seq			posterior cingulate gyrus tissue female adult (90 or above years)	posterior cingulate gyrus			John Stamatoyannopoulos, UW	ENCODE	submitted	/files/ENCFF666ANJ/,/files/ENCFF636ZXU/,/files/ENCFF859SRK/,/files/ENCFF417UFU/		ENCBS436PMU	1	1		Homo sapiens	adult	90 or above years										/replicates/65f0b82b-408b-4aec-8844-894f1f54e637/
/experiments/ENCSR581LHW/	ENCSR581LHW	DNase-seq	DNase-seq			posterior cingulate gyrus tissue female adult (90 or above years)	posterior cingulate gyrus			John Stamatoyannopoulos, UW	ENCODE	submitted	/files/ENCFF728KGJ/,/files/ENCFF761CRZ/,/files/ENCFF820EQP/,/files/ENCFF130VGY/		ENCBS334UJW	1	1		Homo sapiens	adult	90 or above years										/replicates/32795bbc-f87a-4055-b49b-6643b275a150/
/experiments/ENCSR645SYH/	ENCSR645SYH	ChIP-seq	Histone ChIP-seq	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	esophagus tissue female adult (30 years)	esophagus	GEO:GSM1013127,GEO:GSM1582446,SCREEN-GRCh38:esophagus_female_adult_30_years		Bing Ren, UCSD	Roadmap	released	/files/ENCFF972UCE/,/files/ENCFF157EKH/,/files/ENCFF125LBW/,/files/ENCFF166HVM/,/files/ENCFF646OKL/,/files/ENCFF330IRI/,/files/ENCFF012MST/,/files/ENCFF974HAY/,/files/ENCFF951JCX/,/files/ENCFF620QPO/,/files/ENCFF352GQN/,/files/ENCFF563UNH/,/files/ENCFF733EBB/,/files/ENCFF282HIQ/,/files/ENCFF137AIG/,/files/ENCFF075TZQ/,/files/ENCFF008UQW/		ENCBS388UDP	1	1	ENCAB000ADS	Homo sapiens	adult	30 years										/replicates/0b330583-f24b-4954-a341-ac5ab47b4313/
